A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	#	#	#	1	0.03148496134736318	0.5007496251874063	3	0	3998	0	0.16666666666666666	0	1002	2001
#	1	0	#	#	0	0	0.23889733068959731	0.751004016064257	20	0	3985	2	0.5	0	374	498
#	#	0	0	1	1	0	0.032520160641024004	0.504	6	0	3972	3	0.6666666666666666	0	126	250
#	#	0	0	#	1	0	0.09555870199959444	0.625250501002004	11	0	3977	3	0.5	0	312	499
#	1	0	0	#	0	0	1.0	1.0	18	0	3985	3	0.6666666666666666	0	249	249
0	1	0	0	#	0	0	1.0	1.0	17	0	3985	4	0.8333333333333334	0	125	125
0	#	#	#	0	#	0	0.03093812624999398	0.49899799599198397	5	0	3982	5	0.3333333333333333	0	498	998
#	#	0	#	0	1	0	0.09403709773047536	0.6232464929859719	8	0	3977	5	0.5	0	311	499
0	#	#	0	1	1	0	0.23257765406103217	0.7469879518072289	11	0	3972	5	0.6666666666666666	0	186	249
1	#	#	#	0	#	0	0.2377000634327635	0.7502497502497503	6	0	3999	6	0.3333333333333333	0	751	1001
1	1	0	#	0	0	0	1.0	1.0	17	0	3970	6	0.8333333333333334	0	124	124
1	#	#	0	#	#	0	0.031563752502501	0.501	2	0	3994	6	0.3333333333333333	0	501	1000
0	0	0	#	#	#	0	1.0	1.0	24	0	3976	8	0.5	0	497	497
0	0	0	#	#	0	0	1.0	1.0	17	0	3976	8	0.6666666666666666	0	248	248
#	1	0	#	#	#	0	0.030937502512539055	0.49899598393574296	4	0	3985	8	0.3333333333333333	0	497	996
0	#	#	#	0	0	1	0.031565654002102976	0.5010060362173038	3	0	3979	10	0.5	0	249	497
0	#	0	#	0	1	0	0.23257765406103217	0.7469879518072289	7	0	3973	12	0.6666666666666666	0	186	249
0	#	1	#	1	#	0	0.0009863869932852	0.250501002004008	3	0	3981	13	0.5	0	125	499
#	#	0	#	0	0	1	3.0211793237495257e-05	0.12474849094567404	3	0	3940	15	0.5	0	62	497
#	#	#	#	0	1	0	0.030937502512539055	0.49899598393574296	1	0	3999	15	0.3333333333333333	0	497	996
#	1	#	#	#	0	0	0.23849957273356268	0.7507537688442211	7	0	3992	16	0.3333333333333333	0	747	995
1	#	0	0	#	#	0	0.03125	0.5	6	0	3994	16	0.5	0	249	498
0	#	#	#	0	#	1	0.03140766870090778	0.500503524672709	1	0	3998	17	0.3333333333333333	0	497	993
0	#	1	#	1	0	0	0.0009765625	0.25	1	0	3981	17	0.6666666666666666	0	62	248
#	#	#	#	0	0	0	0.23849957273356268	0.7507537688442211	5	0	3994	19	0.3333333333333333	0	747	995
#	1	#	#	#	#	0	0.031015038660626597	0.49924585218702866	4	0	3992	19	0.16666666666666666	0	993	1989
1	0	#	#	#	1	1	0.031880020040032	0.502	3	0	3997	20	0.5	0	251	500
#	1	#	0	#	#	0	0.23532385812437429	0.7487437185929648	8	0	3992	20	0.3333333333333333	0	745	995
1	#	0	0	#	0	0	0.23889733068959731	0.751004016064257	8	0	3994	20	0.6666666666666666	0	187	249
#	#	#	#	0	0	1	0.0009667773835998482	0.24949698189134809	1	0	3979	21	0.3333333333333333	0	248	994
#	#	#	#	#	1	0	0.007335421326901175	0.37418382722250126	3	0	3999	22	0.16666666666666666	0	745	1991
1	0	0	0	1	1	1	1.0	1.0	7	0	3938	22	1.0	0	62	62
0	0	#	#	#	#	0	0.03125	0.5	4	0	3976	23	0.3333333333333333	0	496	992
#	0	0	#	#	1	1	0.0009765625	0.25	4	0	3991	23	0.5	0	124	496
#	1	1	#	0	1	1	0.23889733068959731	0.751004016064257	5	0	3993	25	0.6666666666666666	0	187	249
0	1	#	0	#	0	0	1.0	1.0	14	0	3985	26	0.6666666666666666	0	248	248
#	1	0	#	#	1	0	0.0009571096874939596	0.24899598393574296	4	0	3972	27	0.5	0	124	498
#	#	1	0	0	1	0	0.03125	0.5	2	0	3982	27	0.6666666666666666	0	124	248
#	1	#	#	#	1	1	0.23810154604195244	0.7505030181086519	5	0	3998	28	0.3333333333333333	0	746	994
1	#	1	#	#	1	1	0.23492690421476317	0.7484909456740443	6	0	3997	29	0.5	0	372	497
#	#	0	#	0	0	0	0.512908935546875	0.875	13	0	3994	29	0.5	0	434	496
1	0	1	#	#	#	1	0.03125	0.5	3	0	3997	32	0.5	0	248	496
#	#	#	0	1	1	0	0.007415771484375	0.375	2	0	3972	32	0.5	0	186	496
1	#	0	#	#	0	1	0.0009765625	0.25	1	0	3947	33	0.5	0	124	496
#	0	1	#	#	0	0	0.0009864667039015253	0.2505050505050505	1	0	3989	33	0.5	0	124	495
1	1	#	#	#	#	0	0.03125	0.5	2	0	3992	33	0.3333333333333333	0	496	992
0	1	0	#	0	0	1	0.03125	0.5	2	0	3940	34	0.8333333333333334	0	62	124
#	#	#	#	#	1	1	0.09522324141657476	0.6248108925869894	2	0	3998	34	0.16666666666666666	0	1239	1983
1	0	1	0	#	1	1	0.03125	0.5	3	0	3997	35	0.8333333333333334	0	62	124
#	#	0	1	1	#	0	0.007415771484375	0.375	2	0	3965	35	0.5	0	186	496
#	1	0	#	#	0	1	0.0009473262302489205	0.24848484848484848	2	0	3968	38	0.5	0	123	495
#	1	#	#	0	0	0	0.23971140904807056	0.7515151515151515	7	0	3992	38	0.5	0	372	495
0	1	#	#	#	#	1	0.031092648859738694	0.49949545913218973	4	0	3998	39	0.3333333333333333	0	495	991
#	#	0	#	1	1	1	0.0947908466834612	0.6242424242424243	4	0	3995	40	0.5	0	309	495
#	1	#	0	#	0	0	1.0	1.0	19	0	3992	40	0.5	0	496	496
0	#	#	#	0	1	1	0.03125	0.5	1	0	3998	42	0.5	0	248	496
#	1	0	0	0	0	0	1.0	1.0	23	0	3963	46	0.8333333333333334	0	124	124
0	1	0	#	#	0	1	0.03062251040628165	0.4979757085020243	2	0	3968	46	0.6666666666666666	0	123	247
0	#	0	#	#	1	0	0.23650675719570646	0.7494949494949495	9	0	3973	51	0.5	0	371	495
#	0	0	#	1	#	1	0.030619980373036218	0.49796747967479676	1	0	3991	51	0.5	0	245	492
#	1	1	0	#	0	0	1.0	1.0	14	0	3992	53	0.6666666666666666	0	247	247
0	1	0	0	1	0	0	1.0	1.0	22	0	3985	54	1.0	0	62	62
0	#	#	0	0	1	0	0.23570775731912577	0.7489878542510121	6	0	3982	57	0.6666666666666666	0	185	247
#	#	0	#	#	1	0	0.03125	0.5	1	0	3977	57	0.3333333333333333	0	493	986
0	0	0	0	#	0	0	1.0	1.0	15	0	3976	58	0.8333333333333334	0	123	123
0	0	0	#	1	#	0	1.0	1.0	14	0	3976	61	0.6666666666666666	0	246	246
1	#	0	0	0	0	0	1.0	1.0	19	0	3994	62	0.8333333333333334	0	123	123
0	#	#	0	0	1	1	0.0010169109223078334	0.25203252032520324	1	0	3983	63	0.6666666666666666	0	62	246
#	1	#	0	0	1	0	0.03062251040628165	0.4979757085020243	4	0	3982	64	0.6666666666666666	0	123	247
#	#	1	0	#	0	0	0.09575416037718244	0.6255060728744939	6	0	3992	64	0.5	0	309	494
0	1	0	0	0	1	0	1.0	1.0	12	0	3967	65	1.0	0	61	61
0	#	#	0	#	0	0	0.2349076901191625	0.7484787018255578	17	0	3985	65	0.5	0	369	493
#	#	#	0	0	1	0	0.09363911080645679	0.6227180527383367	5	0	3982	69	0.5	0	307	493
#	1	1	1	0	1	1	1.0	1.0	18	0	3980	70	0.8333333333333334	0	123	123
0	#	#	#	0	1	0	0.030619980373036218	0.49796747967479676	5	0	3982	71	0.5	0	245	492
#	#	0	0	0	0	0	1.0	1.0	16	0	3994	71	0.6666666666666666	0	245	245
#	#	1	#	0	1	0	0.007440875630269309	0.3752535496957404	2	0	3999	72	0.5	0	185	493
0	#	0	#	0	#	0	0.2348881629707487	0.7484662576687117	6	0	3973	74	0.5	0	366	489
0	1	0	0	#	#	0	1.0	1.0	17	0	3985	74	0.6666666666666666	0	245	245
1	0	#	#	0	0	0	1.0	1.0	14	0	3994	75	0.6666666666666666	0	247	247
0	1	0	#	#	1	0	0.030000163240177628	0.4959349593495935	5	0	3972	75	0.6666666666666666	0	122	246
#	#	1	#	0	1	1	0.09459460401842092	0.6239837398373984	3	0	3993	76	0.5	0	307	492
#	1	0	1	#	1	0	0.0	0.0	2	0	76	76	0.6666666666666666	0	0	246
#	#	1	0	#	1	0	0.007241933268682385	0.37322515212981744	1	0	3982	77	0.5	0	184	493
#	#	0	0	#	0	0	0.5144060417537324	0.8755102040816326	10	0	3994	78	0.5	0	429	490
1	#	0	0	1	1	0	0.0	0.0	2	0	78	78	0.8333333333333334	0	0	122
1	0	0	0	#	0	0	0.03254114951385067	0.5040650406504065	7	0	3994	80	0.8333333333333334	0	62	123
0	#	#	0	#	1	0	0.2348881629707487	0.7484662576687117	7	0	3982	80	0.5	0	366	489
#	1	0	0	0	0	1	0.0	0.0	2	0	81	81	0.8333333333333334	0	0	122
0	0	0	#	0	0	0	1.0	1.0	11	0	3962	82	0.8333333333333334	0	122	122
#	#	0	#	1	#	1	0.03157083919736455	0.5010224948875256	2	0	3995	82	0.3333333333333333	0	490	978
#	#	#	0	1	1	1	0.09595394544110311	0.6257668711656442	2	0	3997	83	0.5	0	306	489
1	0	#	#	1	0	0	0.0	0.0	3	0	84	84	0.6666666666666666	0	0	244
#	0	0	0	#	0	0	0.2389234037835294	0.7510204081632653	8	0	3994	88	0.6666666666666666	0	184	245
1	0	0	0	1	1	0	0.0	0.0	3	0	88	88	1.0	0	0	61
0	0	0	#	1	#	1	0.0	0.0	1	0	89	89	0.6666666666666666	0	0	244
#	#	0	#	#	0	0	0.23770978246795016	0.7502558853633572	7	0	3994	89	0.3333333333333333	0	733	977
0	0	0	#	0	#	0	1.0	1.0	11	0	3973	90	0.6666666666666666	0	244	244
1	0	#	#	#	0	0	0.03125	0.5	8	0	3994	90	0.5	0	244	488
#	#	0	#	0	#	0	0.23609271512490024	0.7492323439099283	8	0	3994	92	0.3333333333333333	0	732	977
1	1	1	0	1	0	0	1.0	1.0	10	0	3975	93	1.0	0	61	61
#	0	#	0	#	1	1	0.03125	0.5	4	0	3997	93	0.5	0	244	488
#	1	1	0	1	0	0	1.0	1.0	7	0	3981	94	0.8333333333333334	0	122	122
